common_name,R1_file,R1_md5sum,R2_file,R2_md5sum
UMEL_5_3_usWGS,uM_12_ML_POST_S153_L001_R1_001.fastq.gz,bc42da055cc1b1b17ec103bf595eb45e,uM_12_ML_POST_S153_L001_R2_001.fastq.gz,cd0eacd95098372005bbe803734c3c00
UM_sn_5p_inhib,UMEL-CUUM1-SNRNA-5P-WI-PRIMARY-GEX-F12_S1_L004_R1_001.fastq.gz,4b3e334dc5424fed763ab10d218b7a09,UMEL-CUUM1-SNRNA-5P-WI-PRIMARY-GEX-F12_S1_L004_R2_001.fastq.gz,ee4e77f0c2cd50ec016f7dbeb330f7c8
UMEL_2_1_TCR,UM_08_AR_pre_TCR_S1_L004_R1_001.fastq.gz,be5bb42801836047e836f41c641d55b5,UM_08_AR_pre_TCR_S1_L004_R2_001.fastq.gz,511549e2e260ab37117cf5d865995885
UMEL_2_2,um_08_ar_on_S2_L001_R1_001.fastq.gz,53a099ea0fcec52a3ec0cb454660c4e2,um_08_ar_on_S2_L001_R2_001.fastq.gz,513ed85ea01e1a6f10dc66d21ca76312
UMEL_7_3,um_16_rs_post_S19_L003_R1_001.fastq.gz,96d91028faed39c1a731ed59ab62914b,um_16_rs_post_S19_L003_R2_001.fastq.gz,8bb65b98d6274a311f002dfcc6743694
ribas_310_on,ribas1_on_5pv2_S27_L004_R1_001.fastq.gz,6d79b77d7361232bcf88445f755d1320,ribas1_on_5pv2_S27_L004_R2_001.fastq.gz,8ac204f1584c0abc4c40b4d5dae3e198
UMEL_2_2_TCR,UM_08_AR_on_TCR_S1_L004_R1_001.fastq.gz,1933d1ae3111b814546b1514f10b7b34,UM_08_AR_on_TCR_S1_L004_R2_001.fastq.gz,26da9be34fbda4e94bbeab0932df53b0
ribas_310_pre_slide,JB_BI_demultiplexing_ECM08_pre_S11_L004_R1_001.fastq.gz,f78098e87c7c1914500cc51c37e3d2df,JB_BI_demultiplexing_ECM08_pre_S11_L004_R2_001.fastq.gz,5ab6d15403a05f2c1dad2ee5e28456b9
Mel_sn_5p_v2,skcm-bi005-5pv2-snseq_S1_L001_R1_001.fastq.gz,31bb5958e6436c9461761840f94d76b9,skcm-bi005-5pv2-snseq_S1_L001_R2_001.fastq.gz,e0058d61b8f921dda908a997742b5a93
UMEL_4_1_TCR,UM_11_LC_pre_TCR_S1_L004_R1_001.fastq.gz,daea85cb219768f2d896026cfd2d3209,UM_11_LC_pre_TCR_S1_L004_R2_001.fastq.gz,8a877eefea478f4163685de17da99753
UMEL_5_2_TCR,UM_12_ML_on_TCR_S1_L004_R1_001.fastq.gz,0bf367a7373dff86670336cfdf817790,UM_12_ML_on_TCR_S1_L004_R2_001.fastq.gz,c593a81be8412b93a4c80f83c9ea97dc
UMEL_2_2_usWGS,uM_08_AR_ON_S158_L001_R1_001.fastq.gz,a5426b1d65343ec04e4a0a36ddf4b877,uM_08_AR_ON_S158_L001_R2_001.fastq.gz,7f7d7b83c97bb102a5ff4fd2686fa41b
UMEL_3_1_usWGS,uM_09_MW_Pre_S154_L001_R1_001.fastq.gz,6df6b8ff051d131fa799c5c305bac2ff,uM_09_MW_Pre_S154_L001_R2_001.fastq.gz,d99f0310b446e2c74bd132b9a31f3f73
UMEL_5_3_TCR,UM_12_ML_post_TCR_S1_L004_R1_001.fastq.gz,926249eff47d9555f0b4d4cffbc5537b,UM_12_ML_post_TCR_S1_L004_R2_001.fastq.gz,cfa9f21ee0c0af731ce78208743c15a4
NSCLC_sc_5p,NSCL-NR001-SCRNA-5P-NA-BRAIN-GEX-F6_S1_L004_R1_001.fastq.gz,059669b82d14b29560437dd5b7cd044b,NSCL-NR001-SCRNA-5P-NA-BRAIN-GEX-F6_S1_L004_R2_001.fastq.gz,f7ff485843a493326e75e74459a419be
UMEL_4_1,um_11_lc_pre_S12_L002_R1_001.fastq.gz,255bef3644590fdbb4f8c6957630c382,um_11_lc_pre_S12_L002_R2_001.fastq.gz,e60ac62e127a02e236a628542ddb11de
UM_sc_5p,UMEL-CUUM1-SCRNA-5P-NA-PRIMARY-GEX-E12_S1_L004_R1_001.fastq.gz,a1dc29e01781479ff83377785ddbdb5d,UMEL-CUUM1-SCRNA-5P-NA-PRIMARY-GEX-E12_S1_L004_R2_001.fastq.gz,a361e66677ac7e9b4989960461d6f66e
UMEL_1_1_usWGS,uM_07_GK_Pre_S152_L001_R1_001.fastq.gz,92eea6c5d55692517ad2f948b54f0fce,uM_07_GK_Pre_S152_L001_R2_001.fastq.gz,4f045eae769941c64770198302999a19
UMEL_3_2_TCR,UM_09_MW_on_TCR_S1_L004_R1_001.fastq.gz,ec5869c3370858975f45a36ccde50a53,UM_09_MW_on_TCR_S1_L004_R2_001.fastq.gz,cb306db952b25760772081cb4ff2a10e
UMEL_2_3_usWGS,uM_08_AR_POST_S145_L001_R1_001.fastq.gz,83d0fd1f75b6d5176cff91924318dec7,uM_08_AR_POST_S145_L001_R2_001.fastq.gz,b7b818bb279991994fe3b7b6a5144365
NSCLC_sn_3p_inhib,NSCL-NR001-SNSEQ-3P-WI-BRAIN-GEX-G1_S4_L004_R1_001.fastq.gz,7b173245590575799b19e9712c9d2f10,NSCL-NR001-SNSEQ-3P-WI-BRAIN-GEX-G1_S4_L004_R2_001.fastq.gz,336ad3176ebf8c1f819980fa464b3ef0
UMEL_3_1,um_09_mw_pre_S5_L001_R1_001.fastq.gz,b0d0e1d9fab6e392461cf73c1f8da533,um_09_mw_pre_S5_L001_R2_001.fastq.gz,2b5c0cfe61450318e780a34728fb2f66
NSCLC_sn_5p_inhib,NSCL-NR001-SNSEQ-5P-WI-BRAIN-GEX-F10_S7_L004_R1_001.fastq.gz,7f3d6796fc9abe50e07895b3149a13fe,NSCL-NR001-SNSEQ-5P-WI-BRAIN-GEX-F10_S7_L004_R2_001.fastq.gz,bcbb203a6a7f78abf5abbd1ffea4901c
UMEL_6_2_TCR,UM_15_LM_on_TCR_S1_L004_R1_001.fastq.gz,67903a48962cef42b434f3bca0337267,UM_15_LM_on_TCR_S1_L004_R2_001.fastq.gz,b67cd82881d6fe8cdb241b633debe5a3
ribas_310_on_usWGS,Ribas-1ON_S103_L001_R1_001.fastq.gz,921056659d702292aefbf2686f247f98,Ribas-1ON_S103_L001_R2_001.fastq.gz,15624bbbb961748f02530772d28d618c
UMEL_2_3,um_08_ar_post_S3_L001_R1_001.fastq.gz,08676a76a42a81a2c9613cf51e5dab67,um_08_ar_post_S3_L001_R2_001.fastq.gz,3fbe835b463601d791a61d672c6a6dfe
UMEL_5_1,um_12_ml_pre_S9_L002_R1_001.fastq.gz,b91d39fe57015f57d3ddda51c51245a7,um_12_ml_pre_S9_L002_R2_001.fastq.gz,9542d4a2a1e2e44c011e45e9e7723d6a
NR1TST,NR1TST_S1_L004_R1_001.fastq.gz,771c0c2e5791e0898134b802ffa60f0b,NR1TST_S1_L004_R2_001.fastq.gz,89fc29a6da09bb7814c21a3d731679ae
UMEL_4_2_TCR,UM_11_LC_on_TCR_S1_L004_R1_001.fastq.gz,434bdafa5903b69d6ac3dd5d5f226688,UM_11_LC_on_TCR_S1_L004_R2_001.fastq.gz,b6851d53633cf008ad1619c5b764fbbc
Mel_sc_5p_CD45_plus,CD45posGEXBI5_S1_L001_R1_001.fastq.gz,e3b079e6f6086cf76e9d505b761234cd,CD45posGEXBI5_S1_L001_R2_001.fastq.gz,cb8cc970bbc99fce9240b0d2ab012804
NR1CST,NR1CST_S1_L004_R1_001.fastq.gz,878efdd10ba35f6ef7e4525c89dc710d,NR1CST_S1_L004_R2_001.fastq.gz,6990ff0d1e8179d17fecfe181aac6ad5
